,compound_name,species,organism,amount
0,caesalpinin C,Caesalpinia crista Linn.,seed kernels,19.7 mg
1,caesalpinin D,Caesalpinia crista Linn.,seed kernels,10.5 mg
2,caesalpinin E,Caesalpinia crista Linn.,seed kernels,N/A
3,caesalpinin F,Caesalpinia crista Linn.,seed kernels,5.4 mg
4,caesalpinin G,Caesalpinia crista Linn.,seed kernels,1.5 mg
5,norcaesalpinin D,Caesalpinia crista Linn.,seed kernels,14.8 mg
6,norcaesalpinin E,Caesalpinia crista Linn.,seed kernels,9.0 mg
7,norcaesalpinin A,Caesalpinia crista Linn.,seed kernels,32.9 mg
8,norcaesalpinin B,Caesalpinia crista Linn.,seed kernels,22.6 mg
9,norcaesalpinin C,Caesalpinia crista Linn.,seed kernels,5.9 mg
10,2-acetoxy-3-deacetoxycaesaldekarin e,Caesalpinia crista Linn.,seed kernels,8 mg
11,caesalmin B,Caesalpinia crista Linn.,seed kernels,3.5 mg
12,caesaldekarin e,Caesalpinia crista Linn.,seed kernels,24.7 mg
13,caesalpin F,Caesalpinia crista Linn.,seed kernels,3.4 mg
14,14(17)-dehydrocaesalpin F,Caesalpinia crista Linn.,seed kernels,7.7 mg
15,2-acetoxycaesaldekarin e,Caesalpinia crista Linn.,seed kernels,13.7 mg
16,7-acetoxybonducellpin C,Caesalpinia crista Linn.,seed kernels,19.2 mg
17,caesalmin G,Caesalpinia crista Linn.,seed kernels,1.9 mg
