,compound_name,species,organism,amount
0,Uracil,N/A,human urine,"QC A (water matrix): Added 25.0 pmol, Found 24.9 pmol; QC B (water matrix): Added 250 pmol, Found 246 pmol; QC C (water matrix): Added 500 pmol, Found 490 pmol; QC D (water matrix): Added 100 pmol, Found 102 pmol; QC E (water matrix): Added 1000 pmol, Found 1010 pmol; Molecular mass of (TBDMS)2 derivative: 340; Urine 1: Native 1265 pmol, Added 600 pmol, Spiked 1790 pmol; Urine 2: Native 499 pmol, Added 446 pmol, Spiked 965 pmol; Urine 3: Native 260 pmol, Spiked 229 pmol; Urine A (Intra-day): 13.3±0.4 mmol/mol creatinine; Urine B (Intra-day): 5.26±0.38 mmol/mol creatinine; Urine C (Intra-day): 5.43±0.38 mmol/mol creatinine; Urine A (Inter-day): 13.0±2.0 mmol/mol creatinine; Urine B (Inter-day): 5.34±0.91 mmol/mol creatinine; Urine D (Inter-day): 1.95±0.28 mmol/mol creatinine; Urine with bacteriuria (1 day): 15.0 mmol/mol creatinine; (2 days): 45.1 mmol/mol creatinine; (3 days): 47.3 mmol/mol creatinine; Normal urine (3 days, No storage): 4.99 mmol/mol creatinine; (Without additive): 5.75 mmol/mol creatinine; (With 0.1% chloroform): 5.15 mmol/mol creatinine; (With 0.1% NaN3): 5.43 mmol/mol creatinine; 12-h urine: 5.00 (2.61–7.65) μmol/mmol creatinine; Spot urine Morning: 5.31 (2.00–11.1) μmol/mmol creatinine; Spot urine Afternoon: 6.38 (1.41–11.1) μmol/mmol creatinine; Stock mixture (2-propanol–water): 500 μmol/l; Calibration range: 25–2500 pmol/sample; LOQ: 25 pmol/sample; Urine sample (Fig. 2): 5.42 μmol/mmol creatinine; Spiked in calibration sample (Fig. 1): 50 pmol"
1,Thymine,N/A,human urine,"QC A (water matrix): Added 2.50 pmol, Found 2.64 pmol; QC B (water matrix): Added 25.0 pmol, Found 23.6 pmol; QC C (water matrix): Added 50.0 pmol, Found 48.4 pmol; QC D (water matrix): Added 10.0 pmol, Found 9.6 pmol; QC E (water matrix): Added 100 pmol, Found 105 pmol; Molecular mass of (TBDMS)2 derivative: 354; Urine 1: Native 38.4 pmol, Added 600 pmol, Spiked 708 pmol; Urine 2: Native 20.2 pmol, Added 500 pmol, Spiked 554 pmol; Urine 3: Native 12.7 pmol, Added 600 pmol, Spiked 635 pmol; Urine A (Intra-day): 0.418±0.010 mmol/mol creatinine; Urine B (Intra-day): 0.180±0.013 mmol/mol creatinine; Urine C (Intra-day): 0.317±0.020 mmol/mol creatinine; Urine A (Inter-day): 0.402±0.053 mmol/mol creatinine; Urine B (Inter-day): 0.152±0.029 mmol/mol creatinine; Urine D (Inter-day): 0.073±0.015 mmol/mol creatinine; Urine with bacteriuria (1 day): 0.084 mmol/mol creatinine; (2 days): 0.304 mmol/mol creatinine; (3 days): 0.422 mmol/mol creatinine; Normal urine (3 days, No storage): 0.202 mmol/mol creatinine; (Without additive): 0.253 mmol/mol creatinine; (With 0.1% chloroform): 0.204 mmol/mol creatinine; (With 0.1% NaN3): 0.225 mmol/mol creatinine; 12-h urine: 0.18 (0.08–0.27) μmol/mmol creatinine; Spot urine Morning: 0.20 (0.07–0.39) μmol/mmol creatinine; Spot urine Afternoon: 0.19 (0.10–0.39) μmol/mmol creatinine; Stock mixture (2-propanol–water): 50 μmol/l; Calibration range: 2.5–250 pmol/sample; LOQ: 2.5 pmol/sample; Calibration sample (Fig. 1): 5 pmol; Urine sample (Fig. 2): 0.216 μmol/mmol creatinine"
2,DHU,N/A,human urine,"QC A (water matrix): Added 10.0 pmol, Found 10.7 pmol; QC B (water matrix): Added 100 pmol, Found 99 pmol; QC C (water matrix): Added 200 pmol, Found 203 pmol; QC D (water matrix): Added 40.0 pmol, Found 29.0 pmol; QC E (water matrix): Added 400 pmol, Found 416 pmol; Molecular mass of (TBDMS)2 derivative: 342; Urine 1: Native 253 pmol, Spiked 258 pmol; Urine 2: Native 79.0 pmol, Added 438 pmol, Spiked 509 pmol; Urine 3: Native 45.9 pmol, Spiked 39.6 pmol; Urine A (Intra-day): 2.73±0.12 mmol/mol creatinine; Urine B (Intra-day): 0.974±0.073 mmol/mol creatinine; Urine C (Intra-day): 2.37±0.24 mmol/mol creatinine; Urine A (Inter-day): 2.45±0.22 mmol/mol creatinine; Urine B (Inter-day): 0.863±0.163 mmol/mol creatinine; Urine D (Inter-day): 0.672±0.102 mmol/mol creatinine; Urine with bacteriuria (1 day): 2.19 mmol/mol creatinine; (2 days): 9.50 mmol/mol creatinine; (3 days): 12.7 mmol/mol creatinine; Normal urine (3 days, No storage): 0.79 mmol/mol creatinine; (Without additive): 3.59 mmol/mol creatinine; (With 0.1% chloroform): 0.79 mmol/mol creatinine; (With 0.1% NaN3): 1.04 mmol/mol creatinine; 12-h urine: 1.41 (0.69–2.01) μmol/mmol creatinine; Spot urine Morning: 1.27 (0.42–2.24) μmol/mmol creatinine; Spot urine Afternoon: 1.43 (0.75–2.27) μmol/mmol creatinine; Stock mixture (2-propanol–water): 200 μmol/l; Calibration range: 10–1000 pmol/sample; LOQ: 10 pmol/sample; Calibration sample (Fig. 1): 20 pmol; Urine sample (Fig. 2): 1.90 μmol/mmol creatinine; Amount for limits of quantitation: 10 pmol/sample"
3,DHT,N/A,human urine,"QC A (water matrix): Added 5.00 pmol, Found 5.10 pmol; QC B (water matrix): Added 50.0 pmol, Found 49.0 pmol; QC C (water matrix): Added 100 pmol, Found 100 pmol; QC D (water matrix): Added 20.0 pmol, Found 19.0 pmol; QC E (water matrix): Added 200 pmol, Found 208 pmol; Molecular mass of (TBDMS)2 derivative: 356; Urine 1: Native 59.8 pmol, Spiked 52.5 pmol; Urine 2: Native 39.3 pmol, Added 391 pmol, Spiked 464 pmol; Urine 3: Native 29.6 pmol, Added 800 pmol, Spiked 716 pmol; Urine A (Intra-day): 0.703±0.035 mmol/mol creatinine; Urine B (Intra-day): 0.270±0.021 mmol/mol creatinine; Urine C (Intra-day): 0.686±0.043 mmol/mol creatinine; Urine A (Inter-day): 0.745±0.111 mmol/mol creatinine; Urine B (Inter-day): 0.253±0.047 mmol/mol creatinine; Urine D (Inter-day): 0.232±0.040 mmol/mol creatinine; Urine with bacteriuria (1 day): 0.180 mmol/mol creatinine; (2 days): 0.124 mmol/mol creatinine; (3 days): 0.213 mmol/mol creatinine; Normal urine (3 days, No storage): 0.393 mmol/mol creatinine; (Without additive): 0.414 mmol/mol creatinine; (With 0.1% chloroform): 0.321 mmol/mol creatinine; (With 0.1% NaN3): 0.344 mmol/mol creatinine; 12-h urine: 0.58 (0.35–1.29) μmol/mmol creatinine; Spot urine Morning: 0.60 (0.40–0.97) μmol/mmol creatinine; Spot urine Afternoon: 0.63 (0.38–1.70) μmol/mmol creatinine; Stock mixture (2-propanol–water): 100 μmol/l; Calibration range: 5–500 pmol/sample; LOQ: 5 pmol/sample; Calibration sample (Fig. 1): 10 pmol; Urine sample (Fig. 2): 0.662 μmol/mmol creatinine; Amount for limits of quantitation: 5 pmol/sample"
4,β-UP,N/A,human urine,"QC A (water matrix): Added 10.0 pmol, Found 8.6 pmol; QC B (water matrix): Added 50.0 pmol, Found 50.0 pmol; QC C (water matrix): Added 100 pmol, Found 102 pmol; QC D (water matrix): Added 20.0 pmol, Found 19.2 pmol; QC E (water matrix): Added 200 pmol, Found 210 pmol; Molecular mass of (TBDMS)2 derivative: 360; Urine 1: Native 225 pmol, Spiked 203 pmol; Urine 2: Native 88.4 pmol, Added 379 pmol, Spiked 430 pmol; Urine 3: Native 40.0 pmol, Spiked 40.1 pmol; Urine A (Intra-day): 2.40±0.12 mmol/mol creatinine; Urine B (Intra-day): 1.48±0.12 mmol/mol creatinine; Urine C (Intra-day): 2.81±0.25 mmol/mol creatinine; Urine A (Inter-day): 2.29±0.32 mmol/mol creatinine; Urine B (Inter-day): 1.26±0.22 mmol/mol creatinine; Urine D (Inter-day): 1.05±0.20 mmol/mol creatinine; Urine with bacteriuria (1 day): 3.18 mmol/mol creatinine; (2 days): 1.93 mmol/mol creatinine; (3 days): 2.63 mmol/mol creatinine; Normal urine (3 days, No storage): 0.88 mmol/mol creatinine; (Without additive): 1.29 mmol/mol creatinine; (With 0.1% chloroform): 0.92 mmol/mol creatinine; (With 0.1% NaN3): 1.02 mmol/mol creatinine; 12-h urine: 2.09 (1.23–4.80) μmol/mmol creatinine; Spot urine Morning: 2.16 (1.52–3.04) μmol/mmol creatinine; Spot urine Afternoon: 2.27 (0.81–5.44) μmol/mmol creatinine; Stock mixture (2-propanol–water): 100 μmol/l; Calibration range: 5–500 pmol/sample; LOQ: 5 pmol/sample; Calibration sample (Fig. 1): 10 pmol; Urine sample (Fig. 2): 2.71 μmol/mmol creatinine; Amount for limits of quantitation: 5 pmol/sample"
5,β-UIB,N/A,human urine,"QC A (water matrix): Added 10.0 pmol, Found 10.3 pmol; QC B (water matrix): Added 50.0 pmol, Found 51.8 pmol; QC C (water matrix): Added 100 pmol, Found 93 pmol; QC D (water matrix): Added 20.0 pmol, Found 18.9 pmol; QC E (water matrix): Added 200 pmol, Found 216 pmol; Molecular mass of (TBDMS)2 derivative: 374; Urine 1: Native 25.9 pmol, Spiked 31.5 pmol; Urine 2: Native 11.3 pmol, Added 342 pmol, Spiked 386 pmol; Urine 3: Native n.d., Spiked n.d.; Urine A (Intra-day): 0.205±0.020 mmol/mol creatinine; Urine B (Intra-day): 0.092±0.013 mmol/mol creatinine; Urine C (Intra-day): 0.196±0.016 mmol/mol creatinine; Urine A (Inter-day): 0.228±0.046 mmol/mol creatinine; Urine B (Inter-day): 0.114±0.019 mmol/mol creatinine; Urine D (Inter-day): 0.085±0.020 mmol/mol creatinine; Urine with bacteriuria (1 day): 0.159 mmol/mol creatinine; (3 days): 0.164 mmol/mol creatinine; Normal urine (3 days, No storage): 0.113 mmol/mol creatinine; (Without additive): 0.137 mmol/mol creatinine; (With 0.1% chloroform): 0.116 mmol/mol creatinine; (With 0.1% NaN3): 0.120 mmol/mol creatinine; 12-h urine: 0.23 (0.14–0.39) μmol/mmol creatinine; Spot urine Morning: 0.20 (0.07–0.52) μmol/mmol creatinine; Spot urine Afternoon: 0.22 (0.12–0.43) μmol/mmol creatinine; Stock mixture (2-propanol–water): 100 μmol/l; Calibration range: 5–500 pmol/sample; LOQ: 5 pmol/sample; Calibration sample (Fig. 1): 10 pmol; Urine sample (Fig. 2): 0.259 μmol/mmol creatinine; Amount for limits of quantitation: 5 pmol/sample"
6,β-Ala,N/A,human urine,"QC A (water matrix): Added 5.00 pmol, Found 4.83 pmol; QC B (water matrix): Added 50.0 pmol, Found 49.6 pmol; QC C (water matrix): Added 100 pmol, Found 105 pmol; QC D (water matrix): Added 20.0 pmol, Found 19.5 pmol; QC E (water matrix): Added 200 pmol, Found 208 pmol; Molecular mass of (TBDMS)2 derivative: 317; Urine 1: Native 66.2 pmol, Spiked 62.8 pmol; Urine 2: Native 25.8 pmol, Added 561 pmol, Spiked 576 pmol; Urine 3: Native 11.8 pmol, Added 300 pmol, Spiked 311 pmol; Urine A (Intra-day): 0.692±0.002 mmol/mol creatinine; Urine B (Intra-day): 0.310±0.023 mmol/mol creatinine; Urine C (Intra-day): 5.55±0.34 mmol/mol creatinine; Urine A (Inter-day): 0.755±0.056 mmol/mol creatinine; Urine B (Inter-day): 0.292±0.048 mmol/mol creatinine; Urine D (Inter-day): 0.295±0.050 mmol/mol creatinine; Urine with bacteriuria (1 day): 0.523 mmol/mol creatinine; (2 days): 0.350 mmol/mol creatinine; (3 days): 0.415 mmol/mol creatinine; Normal urine (3 days, No storage): 0.258 mmol/mol creatinine; (Without additive): 0.294 mmol/mol creatinine; (With 0.1% chloroform): 0.267 mmol/mol creatinine; (With 0.1% NaN3): 0.287 mmol/mol creatinine; 12-h urine: 0.69 (0.21–3.90) μmol/mmol creatinine; Spot urine Morning: 0.71 (0.13–8.40) μmol/mmol creatinine; Spot urine Afternoon: 1.29 (0.22–7.32) μmol/mmol creatinine; Stock mixture (2-propanol–water): 100 μmol/l; Calibration range: 5–500 pmol/sample; LOQ: 5 pmol/sample; Calibration sample (Fig. 1): 10 pmol; Urine sample (Fig. 2): 13.2 μmol/mmol creatinine; Amount for limits of quantitation: 5 pmol/sample"
7,β-AIB,N/A,human urine,"QC A (water matrix): Added 25.0 pmol, Found 26.2 pmol; QC B (water matrix): Added 250 pmol, Found 239 pmol; QC C (water matrix): Added 500 pmol, Found 503 pmol; QC D (water matrix): Added 100 pmol, Found 97 pmol; QC E (water matrix): Added 1000 pmol, Found 1080 pmol; Molecular mass of (TBDMS)2 derivative: 331; Urine 1: Native 1410 pmol, Spiked 1450 pmol; Urine 2: Native 307 pmol, Added 485 pmol, Spiked 853 pmol; Urine 3: Native 716 pmol, Spiked 832 pmol; Urine A (Intra-day): 13.0±0.5 mmol/mol creatinine; Urine B (Intra-day): 4.93±0.30 mmol/mol creatinine; Urine C (Intra-day): 9.55±0.49 mmol/mol creatinine; Urine A (Inter-day): 14.8±2.7 mmol/mol creatinine; Urine B (Inter-day): 4.27±0.69 mmol/mol creatinine; Urine D (Inter-day): 3.60±0.51 mmol/mol creatinine; Urine with bacteriuria (1 day): 0.43 mmol/mol creatinine; (2 days): 0.36 mmol/mol creatinine; (3 days): 0.36 mmol/mol creatinine; Normal urine (3 days, No storage): 3.07 mmol/mol creatinine; (Without additive): 3.77 mmol/mol creatinine; (With 0.1% chloroform): 3.06 mmol/mol creatinine; (With 0.1% NaN3): 3.59 mmol/mol creatinine; 12-h urine: 7.70 (1.94–24.0) μmol/mmol creatinine; Spot urine Morning: 8.33 (1.55–23.3) μmol/mmol creatinine; Spot urine Afternoon: 9.23 (1.80–28.0) μmol/mmol creatinine; Stock mixture (2-propanol–water): 500 μmol/l; Calibration range: 25–2500 pmol/sample; LOQ: 25 pmol/sample; Calibration sample (Fig. 1): 50 pmol; Urine sample (Fig. 2): 15.7 μmol/mmol creatinine"
8,[15N2]Uracil,N/A,N/A,Molecular mass of (TBDMS)2 derivative: 342; Stock mixture (2-propanol–water): 1000 μmol/l
9,[2H4]Thymine,N/A,N/A,Molecular mass of (TBDMS)2 derivative: 358; Stock mixture (2-propanol–water): 250 μmol/l
