,compound_name,species,organism,amount
0,aloeresin D (1),Aloe vera,N/A,60.0 mg
1,allo-aloeresin D (2),Aloe vera,N/A,3.0 mg
2,rebaichromone (3),"Aloe vera, Aloe nobilis","N/A (from Aloe vera), dried leaves (from Aloe nobilis)","3.0 mg (from Aloe vera), 3 mg (from Aloe nobilis)"
3,8-C-glucosyl-7-methoxy-(R)-aloesol (4),Aloe vera,N/A,830.0 mg
4,8-C-glucosyl(R)-aloesol (5),Aloe vera,N/A,10.2 mg
5,aloesin (6),Aloe vera,N/A,6.0 mg
6,8-C-glucosyl-7-O-methylaloediol (7),Aloe vera,N/A,3.4 mg
7,C-2′-decoumaroyl-aloeresin G (8),Aloe vera,N/A,5.0 mg
8,2′-O-coumaroyl-(S)-aloesinol (9),Aloe nobilis,dried leaves,50 mg
9,2′-O-(p-methoxy-(E)-cinnamoyl)-(S)-aloesinol (10),Aloe nobilis,dried leaves,40 mg
10,2′-feruloylaloesin (11),Aloe nobilis,dried leaves,140 mg
11,aloeresin A (12),Aloe nobilis,dried leaves,7.0 mg
12,2′-feruloyl-7-O-methylaloesin (13),"Aloe nobilis, Aloe arborescens","dried leaves (from Aloe nobilis), N/A (from Aloe arborescens)",35 mg (from Aloe nobilis)
13,8-C-Glucosyl-7-methoxy-(R)-aloesol (1a),Aloe vera,N/A,5.4 mg
14,2a,Aloe vera,N/A,< 0.5 mg
15,(S)-aloesinol (9a),Aloe nobilis,N/A,N/A
16,7-O-methylalosin (13a),Aloe nobilis,N/A,N/A
17,10a,Aloe nobilis,N/A,N/A
18,7-O-methylaloeresin A,Aloe arborescens,N/A,N/A
