,compound_name,species,organism,amount
0,Punctaporonin A,Poronia punctata,culture medium,220 mg; 30 mg; 6.8 mg; 140 mg; 100 mg
1,Punctaporonin D,Poronia punctata,culture medium,530 mg; 51 mg; 10 mg; 420 mg
2,Punctaporonin E,Poronia punctata,culture medium,220 mg; 58 mg; 9.3 mg; 128 mg; 160 mg; 35 mg
3,Punctaporonin F,Poronia punctata,culture medium,35 mg; 26 mg; 19 mg; 7 mg
4,Punctaporonin B,Poronia punctata,culture medium,2.1 g; 120 mg; 420 mg; 128 mg; 1.0 g; 100 mg
5,Punctaporonin C,Poronia punctata,culture medium,330 mg; 156 mg; 40 mg; 50 mg
6,(E)-methyl 3-(4-methoxyphenyl)propenoate,Poronia punctata,culture medium,672 mg; 200 mg; 50 mg; 900 mg
7,2-hexylidene-3-methylsuccinic acid,Poronia pileiformis,N/A,N/A
8,x β -unsaturated ketone (3),N/A,N/A,18 mg
9,keto lactone (15),N/A,N/A,10 mg; 22 mg
10,9- epi -punctaporonin A,N/A,N/A,N/A
11,ketone (13),N/A,N/A,10 mg; 34 mg; 20 mg
12,keto lactone (17),N/A,N/A,29 mg
13,hydroxy lactone (16),N/A,N/A,46 mg
14,Punctaporonin E acetonide (18),N/A,N/A,22 mg; 39 mg; 9 mg
15,Punctaporonin B aldehyde (5),N/A,N/A,70 mg
16,Punctaporonin C monoacetate (10),N/A,N/A,38 mg
17,Punctaporonin C methyl ester (7),N/A,N/A,134 mg
18,Acetylpunctaporonin C methyl ester (8),N/A,N/A,N/A
19,Desuccinoylpunctaporonin C (9),N/A,N/A,17 mg
20,p -methoxyphenol,N/A,N/A,55 mg; 31 mg; 2.4 g
21,(E)-3-(4-methoxyphenoxy)propenoic acid,N/A,N/A,30 mg
22,Methyl propiolate,N/A,N/A,1.4 g
23,Punctaporonin A diacetate,N/A,N/A,45 mg
24,Punctaporonin E diacetate,N/A,N/A,N/A
25,Punctaporonin F Diacetate,N/A,N/A,N/A
26,Punctaporonin D diacetate,N/A,N/A,18 mg
27,Punctaporonin B monoacetate,N/A,N/A,N/A
28,"12-hydroxycaryophyllene 4,5-oxide",Lactarius camphoratus,sporophore,N/A
29,naematolin,"Hypholoma sublateritium, H. fasculare, H. elongatipes",culture,N/A
30,naematolon,"H. capnoides, H. fasculare, H. elongatipes",culture,N/A
31,caryophyllene,Coriolus consors,N/A,small quantities
