,compound_name,species,organism,amount
0,Azomycin,"Nocardia mesenterica, Streptomyces eurocidicus","culture liquid, broth","crude crystals: 4.5 g; used for catalytic reduction: 118 mg; used for silver salt preparation: 0.1 g; solubilities: 4.0 mg/cc in cold methanol, 12.8 mg/cc in hot methanol, 3.5 mg/cc in acetone, 0.5 mg/cc in chloroform, 0.8 mg/cc in distilled water, 0.5 mg/cc in 0.1 N HCl, 2.7 mg/cc in 0.1 N NaOH, 8.3 mg/cc in 2.0% leucine solution"
1,Imidazole,N/A,N/A,N/A
2,4-Nitroimidazole,N/A,N/A,N/A
3,Acetylaminoazomycin,N/A,N/A,110 mg
4,2-Acetylaminoimidazole,N/A,N/A,N/A
5,2-p-Bromobenzeneazoimidazole,N/A,N/A,N/A
6,2-nitroimidazole,N/A,N/A,N/A
7,Chloramphenicol,N/A,N/A,N/A
8,Hipptagenic acid,N/A,N/A,N/A
9,Aureothin,aureothricin-producing Streptomyces,N/A,N/A
10,p-nitrobenzoic acid derivative,N/A,N/A,N/A
11,t-nitrobenzoic acid,chloramphenicol-producing strain,N/A,N/A
12,Roseonine,N/A,N/A,N/A
13,Roseomycin,N/A,N/A,N/A
14,2-aminoimidazole derivative,N/A,N/A,N/A
15,Silver Salt of Azomycin,N/A,N/A,N/A
16,Polyene antibiotic substance,Streptomyces eurocidicus,culture liquid,N/A
17,Eurocidin,"Streptomyces eurocidicus, Streptomyces albireticuli n. sp.",culture liquid,N/A
18,Erythromycin-carbomycin group substances,"S. eurocidicus, N/A",N/A,N/A
19,Tertiomycin,S. eurocidicus,N/A,N/A
20,Spiramycin,S. ambofaciens,N/A,N/A
21,Congocidin,S. ambofaciens,N/A,N/A
22,Netropsin,N/A,N/A,N/A
23,Carbomycin,Streptomyces albireticuli n. sp.,N/A,N/A
24,Enteromycin,Streptomyces albireticuli n. sp.,N/A,N/A
